match_id,stage_label,blue_total_gold,red_total_gold,gold_diff,blue_total_kills,red_total_kills,kill_diff,blue_total_deaths,red_total_deaths,death_diff,blue_tower_kills,red_tower_kills,tower_diff,blue_dragon_kills,red_dragon_kills,dragon_diff,blue_herald_kills,red_herald_kills,herald_diff,blue_baron_kills,red_baron_kills,baron_diff,blue_inhibitor_kills,red_inhibitor_kills,inhibitor_diff,blue_avg_level,red_avg_level,avg_level_diff,blue_minions_killed,red_minions_killed,minion_diff,blue_jungle_minions_killed,red_jungle_minions_killed,jungle_diff,elapsed_time_seconds,elapsed_time_ratio,first_blood_blue,first_tower_blue,blue_win,split
NA1_5495806903,stage_20,-0.20115451999485554,-0.055454078771855514,-0.10922959041426605,-1.0356466057374292,-0.9018065493778844,-0.010714354045843187,-0.9061979626712219,-1.0401628883935579,0.005346829127666307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6411037125589547,1.216279419282614,-0.7687789160736815,1.0421127688071794,1.2796540988010603,-0.21427034511748913,0.8700729251934759,1.6260310232199402,-0.824455988347299,-0.2549162538751481,5.551115123125783e-17,-0.8853156407653623,0,0,train
NA1_5497264907,stage_20,1.7143632763371592,-0.29450035255396,1.5820120445013235,0.7993245614751968,-0.9018065493778844,1.4035803800054574,-0.9061979626712219,0.7905237951791038,-1.4062160605762386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6411037125589547,0.1530417812342363,0.5753113742803047,0.30706528912944353,1.4901392589776834,-1.0771624468109706,0.15226276190885818,0.12113289831173972,0.04443175985105204,1.1471231424381603,5.551115123125783e-17,1.1295406451144276,0,1,test
NA1_5498712644,stage_20,1.6733297889765903,-0.7862526871914322,1.9675049964186728,0.7993245614751968,-0.9018065493778844,1.4035803800054574,-0.9061979626712219,0.7905237951791038,-1.4062160605762386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2015387460541989,0.1530417812342363,1.2473565194572978,0.727092420373864,0.22722829791794508,0.4568679561996633,0.8700729251934759,0.12113289831173972,0.913319508049403,-0.039217885211562185,5.551115123125783e-17,1.1295406451144276,0,1,train
NA1_5499762611,stage_20,0.4926844481020378,1.6229922578553497,-0.9947040025251701,-0.11816102213111618,1.5275498693543759,-1.4250090880971438,1.5022207837569916,-0.12481954660722702,1.4169097188315716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08066867906371185,1.216279419282614,-1.4408240612506746,-0.007955059303871826,0.7534411983595027,-0.6936548460583122,0.8700729251934759,0.8735819607658399,0.04443175985105204,-0.14706706954335513,5.551115123125783e-17,-0.8853156407653623,0,0,test
NA1_5500058277,stage_20,1.2555342813053427,-0.5540363069459592,1.4457852118688765,1.7168101450815099,-0.9018065493778844,2.110727747031108,-0.9061979626712219,1.7058671369654346,-2.111997505428191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6411037125589547,0.1530417812342363,0.5753113742803047,0.4120720719405486,0.7534411983595027,-0.31014724530565374,-0.9244524830180685,-0.8194284297558855,-0.1727901771985357,-0.14706706954335513,5.551115123125783e-17,1.1295406451144276,0,1,train
NA1_5501928361,stage_20,-0.17877261779818157,-0.12375301413817108,-0.03387006597929548,-1.0356466057374292,-0.9018065493778844,-0.010714354045843187,-0.9061979626712219,-1.0401628883935579,0.005346829127666307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6411037125589547,1.216279419282614,-0.7687789160736815,1.2521263344293896,1.2796540988010603,-0.022516544741159876,0.8700729251934759,0.8735819607658399,0.04443175985105204,-0.14706706954335513,5.551115123125783e-17,-0.8853156407653623,0,1,train
NA1_5503722817,stage_20,0.897423846158559,-0.7281985921300639,1.3153552657314274,1.7168101450815099,-0.9018065493778844,2.110727747031108,-0.9061979626712219,1.7058671369654346,-2.111997505428191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47976635443153226,-0.3785770377899531,-0.09673377089668841,-0.9530161046038179,0.43771345809456813,-1.2689162471873,-0.2066423197334507,-1.1956529609829356,1.1305414450989908,1.0392739581063672,5.551115123125783e-17,1.1295406451144276,0,0,test
NA1_5503892992,stage_20,0.5803468983723442,0.33555732620030115,0.1661225180981264,-0.11816102213111618,-0.092021076467131,-0.010714354045843187,-0.10339171386181734,-0.12481954660722702,0.005346829127666307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6411037125589547,-0.3785770377899531,1.2473565194572978,0.5170788547516537,-0.5094697627002356,0.9362524571404864,0.8700729251934759,0.12113289831173972,0.913319508049403,-0.2549162538751481,5.551115123125783e-17,-0.8853156407653623,0,1,train
NA1_5504901946,stage_20,-3.0305999893577247,-3.291116141751056,0.43857618336301996,-1.0356466057374292,-0.9018065493778844,-0.010714354045843187,-0.9061979626712219,-1.0401628883935579,0.005346829127666307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1610714549172636,-3.036671132910898,1.2473565194572978,-1.8980771499037639,-3.56150458526127,1.511513858269474,-1.2833575646603774,-1.3837652265964606,0.04443175985105204,-5.755224654796589,5.551115123125783e-17,-0.8853156407653623,0,1,train
NA1_5504913691,stage_20,0.2781912187172455,-0.726491118745906,0.8327644650228659,-0.11816102213111618,-0.9018065493778844,0.6964330129798072,-0.9061979626712219,-0.12481954660722702,-0.7004346157242862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6411037125589547,-0.3785770377899531,1.2473565194572978,0.30706528912944353,0.12198571782963355,0.16923725563516936,1.5878830884780937,0.12113289831173972,1.7822072562477542,0.2843296677838167,5.551115123125783e-17,1.1295406451144276,0,1,train
